Head,Message,Type
,"Coronavirus update: MP tribal beaten to death by police during lockdown, alleges family",Genuine
," A Pakistani doctor, Dr Osama Riazâ€™s last message for you (while taking his last breath).",Fake
,Italian PM said that the country has surrendered to the Covid-19 pandemic,Fake
,A video of bat infested roof claimed to be from Hubei-china claiming it to be the source of coronavirus.,Fake
,Netizens split over response to PMâ€™s diya call,Genuine
,‘Let’s light a lamp’: PM Modi tweets Atal Bihari Vajpayee’s poem as reminder for Sunday,Genuine
," Rotis hailing PM Modi shared in Madhya Pradesh, India during lockdown.",Fake
,In Italy people of all religions prostrate before God. They started crying and asking for forgiveness for their sins. Keep sharing the video,Fake
," To defeat the coronavirus, China had built a thousand bed hospital in 10 days, while India has prepared a modern hospital of 6370 beds overnight, at a very low cost.",Fake
,New Confirmed Case Of coronavirus In The Macarthur Region of Australia!,Fake
,Turmeric and lemon can cure coronavirus.,Fake
, Marathi newspaper reports conspiracy theory of Coronavirus being a bioweapon.,Fake
,Self-help groups have supplied 13 lakh masks:Karnataka Deputy CM,Genuine
,"PM Modi reviews nationwide Covid-19 preparedness, directs authorities to ensure enough supplies",Genuine
,"Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely). If possible, avoid traveling to places – especially if you are an older person or have diabetes, heart or lung disease. Why? You have a higher chance of catching COVID-19 in one of these areas.",Genuine
, The Indian Home Ministry considers posting anything about Coronavirus as a punishable offence.,Fake
," Kerala, India, minister K.T Jaleel still draws his salary as teacher even after quitting his job 14 years ago.",Fake
, Can cannabis cure coronavirus?,Fake
,"WHO reported that Coronavirus lasts upto 8 hours on cabbages thus, cabbage consumption should be restricted.",Fake
,"60-year-old Covid-19 patient dies in Bikaner, 12 new cases in Rajasthan",Genuine
,A video of migrant labourers throwing away food packets from a moving train in West Bengal's Asansol station,Fake
,"PM dons mundu & gamosa, shines light on integration",Genuine
,A website claiming that China has confirmed that patient zero had sex with a bat.,Fake
," According to a WHO report, not a single vegetarian person in the world has been found to suffer from coronavirus.",Fake
, Filmmaker Sudhir Mishra getting beaten up by police during the lockdown for stepping out of home.,Fake
,"100-year-old man dies in quarantine in Jammu and Kashmirâ€™s Udhampur, Covid-19 test report negative",Genuine
,Local officials not getting lockdown instructions right: Centre to states,Genuine
,Over 500 years of Adhan (The Islamic Call to Prayer) ban lifted in Spain amid coronavirus.,Fake
, Indian President Ramnath Kovind pouring gaumutra (cow urine) on globe to prevent coronavirus.,Fake
, Inhalation of hot steam can kill Novel Coronavirus.,Fake
,Citizens must exhibit responsible behaviour | Opinion,Genuine
,"A video from March 20, 2020, showing Muslims praying on the street near a dargah in Delhi, is being shared with a false claim that they are violating the ongoing lockdown which prohibits large gatherings.",Genuine
,"Wuhan, once epicentre of Covid-19, gets ready for life after lockdown",Genuine
,"Covid-19: Centre may extend lockdown after Apr 14 as states, experts make request",Genuine
, Dettol sanitizer kills coronavirus and the company knew about the existence of the virus before the outbreak of the virus in China.,Fake
,"In Gujarat’s Gandhinagar smart city contact details of grocery stores for all sectors are also provided. The Surat Municipal Corporation has published an online dashboard for providing the overall statistics on tested, confirmed, active, recovered and death cases, the dashboard provides the trends and patterns on the spread of COVID-19 within city, in terms of cumulative cases (each day), number of new confirmed cases reported, age-wise distribution of cases, zone-wise distribution and gender-wise distribution. Spatial mapping of affected areas is also being provided.",Genuine
,Services exempted by Centre from lockdown allowed to continue in Rajasthan: Govt official,Genuine
,Prince Charles' office refutes Indian minister's Ayurveda link to Covid-19,Genuine
, The viral image is of a doctor couple in Italy who gave their lives treating coronavirus patients.,Fake
,MHA starts blacklisting 360 foreign Tablighi members who left India,Genuine
, Broiler chickens were found to have coronavirus in Mumbai.,Fake
,"In Pakistan’s Covid-19 response, signs of unpreparedness",Genuine
,Indian Army has set-up a 1000 bed quarantine facility in Rajasthanâ€™s Barmer.,Fake
,A Shaheen Bagh protestor in India was claimed to have coronavirus.,Fake
,No evidence coronavirus was made in Chinese lab: Top virologist Ian Lipkin,Genuine
,Images of the medical facility shared with the claim that the Indian Army set up a 1000-bed hospital in Rajasthan amidst Coronavirus Pandemic.,Fake
,Video of the new hospital set up by China for coronavirus patients.,Fake
,"5 more test Covid-19 positive, tally rises to 75 in J&K",Genuine
,Covid-19 lockdown: Autorickshaw drivers seek govt relief,Genuine
,"According to the Central government statement on Monday, at least 1,445 cases out of over 4000 positive Covid-19 infections across the country, were linked to the Tablighi Jamaat congregation in Delhi. Over 9,000 people had attended the religious gathering in Delhi’s Nizamuddin in March, the government had said.",Genuine
, Oman is releasing special chemical into the sky to eradicate coronavirus with military helicopters.,Fake
